Date,Value
1951-05-01,30.8
1951-04-01,30.9
1951-03-01,30.9
1951-02-01,30.8
1951-01-01,30.6
1950-12-01,30.2
1950-11-01,30.1
1950-10-01,30.2
1950-09-01,30.7
1950-08-01,29.6
1950-07-01,28.4
1950-06-01,27.6
1950-05-01,27.0
1950-04-01,25.9
1950-03-01,25.5
1950-02-01,24.9
1950-01-01,24.3
1949-12-01,23.9
1949-11-01,23.6
1949-10-01,23.3
1949-09-01,23.0
1949-08-01,22.9
1949-07-01,23.3
1949-06-01,23.6
1949-05-01,24.0
1949-04-01,24.4
1949-03-01,24.7
1949-02-01,24.9
1949-01-01,25.2
1948-12-01,25.5
1948-11-01,25.8
1948-10-01,26.2
1948-09-01,26.5
1948-08-01,26.7
1948-07-01,26.5
1948-06-01,26.4
1948-05-01,26.4
1948-04-01,26.0
1948-03-01,26.0
1948-02-01,25.8
1948-01-01,25.6
1947-12-01,25.4
1947-11-01,24.9
1947-10-01,24.2
1947-09-01,23.9
1947-08-01,23.2
1947-07-01,22.8
1947-06-01,22.6
1947-05-01,22.7
1947-04-01,22.7
1947-03-01,22.0
1947-02-01,21.1
1947-01-01,20.6
1946-12-01,18.4
1946-11-01,15.5
1946-10-01,14.4
1946-09-01,14.4
1946-08-01,14.4
1946-07-01,14.4
1946-06-01,14.2
1946-05-01,14.0
1946-04-01,13.9
1946-03-01,13.6
1946-02-01,12.9
1946-01-01,12.8
1945-12-01,12.8
1945-11-01,12.5
1945-10-01,12.5
1945-09-01,12.5
1945-08-01,12.5
1945-07-01,12.5
1945-06-01,12.5
1945-05-01,12.5
1945-04-01,12.5
1945-03-01,12.5
1945-02-01,12.5
1945-01-01,12.5
1944-12-01,12.5
1944-11-01,12.5
1944-10-01,12.5
1944-09-01,12.5
1944-08-01,12.5
1944-07-01,12.5
1944-06-01,12.5
1944-05-01,12.5
1944-04-01,12.5
1944-03-01,12.2
1944-02-01,12.1
1944-01-01,12.0
1943-12-01,12.0
1943-11-01,12.0
1943-10-01,11.9
1943-09-01,11.8
1943-08-01,11.7
1943-07-01,11.3
1943-06-01,11.2
1943-05-01,11.2
1943-04-01,11.0
1943-03-01,11.0
1943-02-01,11.0
1943-01-01,10.9
1942-12-01,10.9
1942-11-01,10.9
1942-10-01,10.5
1942-09-01,10.7
1942-08-01,10.7
1942-07-01,10.7
1942-06-01,10.6
1942-05-01,10.6
1942-04-01,10.7
1942-03-01,10.7
1942-02-01,10.7
1942-01-01,10.6
1941-12-01,10.5
1941-11-01,10.4
1941-10-01,10.5
1941-09-01,10.5
1941-08-01,10.3
1941-07-01,9.9
1941-06-01,9.5
1941-05-01,9.4
1941-04-01,9.4
1941-03-01,9.4
1941-02-01,9.5
1941-01-01,9.6
1940-12-01,9.6
1940-11-01,9.5
1940-10-01,9.3
1940-09-01,8.7
1940-08-01,7.9
1940-07-01,7.7
1940-06-01,7.7
1940-05-01,7.8
1940-04-01,7.8
1940-03-01,7.9
1940-02-01,7.9
1940-01-01,8.0
1939-12-01,8.0
1939-11-01,8.1
1939-10-01,8.0
1939-09-01,7.6
1939-08-01,7.3
1939-07-01,7.2
1939-06-01,7.2
1939-05-01,7.3
1939-04-01,7.4
1939-03-01,7.4
1939-02-01,7.4
1939-01-01,7.4
1938-12-01,7.4
1938-11-01,7.2
1938-10-01,7.1
1938-09-01,7.1
1938-08-01,7.0
1938-07-01,6.8
1938-06-01,6.8
1938-05-01,7.0
1938-04-01,7.0
1938-03-01,7.1
1938-02-01,7.1
1938-01-01,7.1
1937-12-01,7.2
1937-11-01,7.5
1937-10-01,7.8
1937-09-01,8.0
1937-08-01,8.0
1937-07-01,8.1
1937-06-01,8.3
